Title,Category,Production Budget,Opening Weekend,Domestic Box Office,Worldwide Box Office,Domestic Profit
Star Wars: The Clone Wars,StarWars,8500000,14611273,35161554,68695443,26661554
Solo: A Star Wars Story,StarWars,275000000,84420489,213767512,393151347,-61232488
Star Wars Ep. V: The Empire…,StarWars,23000000,4910483,291738960,549001242,268738960
Star Wars Ep. VI: Return of…,StarWars,32500000,23019618,309205079,475106177,276705079
Star Wars Ep. II: Attack of…,StarWars,115000000,80027814,310676740,656695615,195676740
Star Wars Ep. III: Revenge …,StarWars,115000000,108435841,380270577,848998877,265270577
Star Wars Ep. IV: A New Hope,StarWars,11000000,1554475,460998007,775398007,449998007
Star Wars Ep. I: The Phanto…,StarWars,115000000,64810970,474544677,1027044677,359544677
Star Wars: The Rise of Skyw…,StarWars,275000000,177383864,515202542,1072848487,240202542
Rogue One: A Star Wars Story,StarWars,200000000,155081681,532177324,1055135598,332177324
Star Wars Ep. VIII: The Las…,StarWars,262000000,220009584,620181382,1331635141,358181382
Star Wars Ep. VII: The Forc…,StarWars,306000000,247966675,936662225,2064615817,630662225
Star Trek: Nemesis,StarTrek,60000000,18513305,43254409,67312826,-16745591
Star Trek V: The Final Fron…,StarTrek,30000000,17375648,52210049,70200000,22210049
Star Trek: Insurrection,StarTrek,70000000,22052836,70187658,117800000,187658
Star Trek VI: The Undiscove…,StarTrek,27000000,18162837,74888996,96900000,47888996
Star Trek: Generations,StarTrek,38000000,23116394,75671262,120000000,37671262
Star Trek III: The Search f…,StarTrek,18000000,16673229,76471046,87000000,58471046
Star Trek II: The Wrath of …,StarTrek,12000000,14347221,78912963,95800000,66912963
Star Trek: The Motion Picture,StarTrek,35000000,11926421,82258456,139000000,47258456
Star Trek: First Contact,StarTrek,46000000,30716131,92027888,150000000,46027888
Star Trek IV: The Voyage Home,StarTrek,24000000,16881888,109713132,133000000,85713132
Star Trek Beyond,StarTrek,185000000,59253211,158848340,335673708,-26151660
Star Trek Into Darkness,StarTrek,190000000,70165559,228778661,467381584,38778661
Star Trek,StarTrek,140000000,79204289,257730019,386839614,117730019
The Incredible Hulk,Marvel,137500000,55414050,134806913,265573859,-2693087
Eternals,Marvel,200000000,71297219,164853540,398996599,-35146460
Captain America: The First …,Marvel,140000000,65058524,176654505,370569776,36654505
Ant-Man,Marvel,130000000,57225526,180202163,518858449,50202163
Thor,Marvel,150000000,65723338,181030624,449326618,31030624
Black Widow,Marvel,200000000,80366312,183651655,375474179,-16348345
Thor: The Dark World,Marvel,150000000,85737841,206362140,644602516,56362140
Ant-Man and the Wasp,Marvel,130000000,75812205,216648740,623144660,86648740
Shang-Chi and the Legend of…,Marvel,150000000,75388688,224543292,417919868,74543292
Doctor Strange,Marvel,165000000,85058311,232641920,676354481,67641920
Captain America: The Winter…,Marvel,170000000,95023721,259746958,714401889,89746958
Iron Man 2,Marvel,170000000,128122480,312433331,621156389,142433331
Thor: Ragnarok,Marvel,180000000,122744989,315058289,850482778,135058289
Iron Man,Marvel,186000000,102118668,318604126,585171547,132604126
Guardians of the Galaxy,Marvel,170000000,94320883,333714112,770882395,163714112
Spider-Man: Homecoming,Marvel,175000000,117027503,334201140,878346440,159201140
Guardians of the Galaxy Vol 2,Marvel,200000000,146510104,389813101,869113101,189813101
Spider-Man: Far From Home,Marvel,160000000,92579212,390532085,1132532832,230532085
Captain America: Civil War,Marvel,250000000,179139142,408084349,1151918521,158084349
Iron Man 3,Marvel,200000000,174144585,408992272,1215392272,208992272
Captain Marvel,Marvel,175000000,153433423,426829839,1129727388,251829839
Avengers: Age of Ultron,Marvel,365000000,191271109,459005868,1395316979,94005868
The Avengers,Marvel,225000000,207438708,623357910,1515100211,398357910
Avengers: Infinity War,Marvel,300000000,257698183,678815482,2048359754,378815482
Black Panther,Marvel,200000000,202003951,700059566,1336494321,500059566
Spider-Man: No Way Home,Marvel,200000000,260138569,705553496,1631589669,505553496
Avengers: Endgame,Marvel,400000000,357115007,858373000,2797800564,458373000
Fantastic Beasts: The Crime…,HarryPotter,200000000,62163104,159555901,651280475,-40444099
Fantastic Beasts and Where …,HarryPotter,180000000,74403387,234037575,811724385,54037575
Harry Potter and the Prison…,HarryPotter,130000000,93687367,249757726,789592708,119757726
Harry Potter and the Chambe…,HarryPotter,100000000,88357488,262424882,875454054,162424882
Harry Potter and the Goblet…,HarryPotter,150000000,102685961,290201752,887070413,140201752
Harry Potter and the Order …,HarryPotter,150000000,77108414,292137260,940043931,142137260
Harry Potter and the Deathl…,HarryPotter,125000000,125017372,296131568,955371891,171131568
Harry Potter and the Half-B…,HarryPotter,250000000,77835727,302089278,929411069,52089278
Harry Potter and the Sorcer…,HarryPotter,125000000,90294621,317871467,965054122,192871467
Harry Potter and the Deathl…,HarryPotter,125000000,169189427,381193157,1332227707,256193157
The Hobbit: The Battle of t…,LOTR,250000000,54724334,255119788,940389558,5119788
The Hobbit: The Desolation …,LOTR,250000000,73645197,258241522,959358436,8241522
The Hobbit: An Unexpected J…,LOTR,200000000,84617303,303003568,1014938545,103003568
The Lord of the Rings: The …,LOTR,93000000,47211490,315544750,891216824,222544750
The Lord of the Rings: The …,LOTR,94000000,62007528,342548984,919148764,248548984
The Lord of the Rings: The …,LOTR,94000000,72629713,377845905,1120214046,283845905
