Category,Production Budget,Opening Weekend,Domestic Box Office,Worldwide Box Office,Domestic Profit
StarWars,8500000.00,14611273.00,35161554.00,68695443.00,26661554.00
StarWars,275000000.00,84420489.00,213767512.00,393151347.00,-61232488.00
StarWars,23000000.00,4910483.00,291738960.00,549001242.00,268738960.00
StarWars,32500000.00,23019618.00,309205079.00,475106177.00,276705079.00
StarWars,115000000.00,80027814.00,310676740.00,656695615.00,195676740.00
StarWars,115000000.00,108435841.00,380270577.00,848998877.00,265270577.00
StarWars,11000000.00,1554475.00,460998007.00,775398007.00,449998007.00
StarWars,115000000.00,64810970.00,474544677.00,1027044677.00,359544677.00
StarWars,275000000.00,177383864.00,515202542.00,1072848487.00,240202542.00
StarWars,200000000.00,155081681.00,532177324.00,1055135598.00,332177324.00
StarWars,262000000.00,220009584.00,620181382.00,1331635141.00,358181382.00
StarWars,306000000.00,247966675.00,936662225.00,2064615817.00,630662225.00
StarTrek,60000000.00,18513305.00,43254409.00,67312826.00,-16745591.00
StarTrek,30000000.00,17375648.00,52210049.00,70200000.00,22210049.00
StarTrek,70000000.00,22052836.00,70187658.00,117800000.00,187658.00
StarTrek,27000000.00,18162837.00,74888996.00,96900000.00,47888996.00
StarTrek,38000000.00,23116394.00,75671262.00,120000000.00,37671262.00
StarTrek,18000000.00,16673229.00,76471046.00,87000000.00,58471046.00
StarTrek,12000000.00,14347221.00,78912963.00,95800000.00,66912963.00
StarTrek,35000000.00,11926421.00,82258456.00,139000000.00,47258456.00
StarTrek,46000000.00,30716131.00,92027888.00,150000000.00,46027888.00
StarTrek,24000000.00,16881888.00,109713132.00,133000000.00,85713132.00
StarTrek,185000000.00,59253211.00,158848340.00,335673708.00,-26151660.00
StarTrek,190000000.00,70165559.00,228778661.00,467381584.00,38778661.00
StarTrek,140000000.00,79204289.00,257730019.00,386839614.00,117730019.00
Marvel,137500000.00,55414050.00,134806913.00,265573859.00,-2693087.00
Marvel,200000000.00,71297219.00,164853540.00,398996599.00,-35146460.00
Marvel,140000000.00,65058524.00,176654505.00,370569776.00,36654505.00
Marvel,130000000.00,57225526.00,180202163.00,518858449.00,50202163.00
Marvel,150000000.00,65723338.00,181030624.00,449326618.00,31030624.00
Marvel,200000000.00,80366312.00,183651655.00,375474179.00,-16348345.00
Marvel,150000000.00,85737841.00,206362140.00,644602516.00,56362140.00
Marvel,130000000.00,75812205.00,216648740.00,623144660.00,86648740.00
Marvel,150000000.00,75388688.00,224543292.00,417919868.00,74543292.00
Marvel,165000000.00,85058311.00,232641920.00,676354481.00,67641920.00
Marvel,170000000.00,95023721.00,259746958.00,714401889.00,89746958.00
Marvel,170000000.00,128122480.00,312433331.00,621156389.00,142433331.00
Marvel,180000000.00,122744989.00,315058289.00,850482778.00,135058289.00
Marvel,186000000.00,102118668.00,318604126.00,585171547.00,132604126.00
Marvel,170000000.00,94320883.00,333714112.00,770882395.00,163714112.00
Marvel,175000000.00,117027503.00,334201140.00,878346440.00,159201140.00
Marvel,200000000.00,146510104.00,389813101.00,869113101.00,189813101.00
Marvel,160000000.00,92579212.00,390532085.00,1132532832.00,230532085.00
Marvel,250000000.00,179139142.00,408084349.00,1151918521.00,158084349.00
Marvel,200000000.00,174144585.00,408992272.00,1215392272.00,208992272.00
Marvel,175000000.00,153433423.00,426829839.00,1129727388.00,251829839.00
Marvel,365000000.00,191271109.00,459005868.00,1395316979.00,94005868.00
Marvel,225000000.00,207438708.00,623357910.00,1515100211.00,398357910.00
Marvel,300000000.00,257698183.00,678815482.00,2048359754.00,378815482.00
Marvel,200000000.00,202003951.00,700059566.00,1336494321.00,500059566.00
Marvel,200000000.00,260138569.00,705553496.00,1631589669.00,505553496.00
Marvel,400000000.00,357115007.00,858373000.00,2797800564.00,458373000.00
HarryPotter,200000000.00,62163104.00,159555901.00,651280475.00,-40444099.00
HarryPotter,180000000.00,74403387.00,234037575.00,811724385.00,54037575.00
HarryPotter,130000000.00,93687367.00,249757726.00,789592708.00,119757726.00
HarryPotter,100000000.00,88357488.00,262424882.00,875454054.00,162424882.00
HarryPotter,150000000.00,102685961.00,290201752.00,887070413.00,140201752.00
HarryPotter,150000000.00,77108414.00,292137260.00,940043931.00,142137260.00
HarryPotter,125000000.00,125017372.00,296131568.00,955371891.00,171131568.00
HarryPotter,250000000.00,77835727.00,302089278.00,929411069.00,52089278.00
HarryPotter,125000000.00,90294621.00,317871467.00,965054122.00,192871467.00
HarryPotter,125000000.00,169189427.00,381193157.00,1332227707.00,256193157.00
LOTR,250000000.00,54724334.00,255119788.00,940389558.00,5119788.00
LOTR,250000000.00,73645197.00,258241522.00,959358436.00,8241522.00
LOTR,200000000.00,84617303.00,303003568.00,1014938545.00,103003568.00
LOTR,93000000.00,47211490.00,315544750.00,891216824.00,222544750.00
LOTR,94000000.00,62007528.00,342548984.00,919148764.00,248548984.00
LOTR,94000000.00,72629713.00,377845905.00,1120214046.00,283845905.00
